entity_id,destination,latitude,longitude,coordinate_source
7714896f3f280327ca3c0d980f75976dbf48b5af19a015cd0fe7ddac416f8006,Girona,42.026239,3.007877,ciudad_centroid_local
771492ca13981350a1554bff679a7a1cf02615accaa6030fb506133bf162a67c,Sevilla,37.391738,-5.983083,ciudad_centroid_local
77166d49b7c4b76b0da0218e9605a72ef2bd8f55c796889ba1e44f5fd4e65434,Madrid,40.423559,-3.694702,ciudad_centroid_local
771718970ac8874ceba81ea25bb266d96fe2ef3388fbad7a011d4963cb29fee1,Girona,42.026239,3.007877,ciudad_centroid_local
7717871e6d0af57a8f61d1319141450ad9952cdc0b0b6b06de5c70e2ab4b959c,Málaga,36.718799,-4.42424,ciudad_centroid_local
771837b599d82605bc44e14520e73458932cf3ab3793c1d70b079cfa701ed7f1,Menorca,39.942923,4.033185,ciudad_centroid_local
7718bcf165ac303497efb710b723441c042943f629102fa696b5bd1c9a51c2c5,Sevilla,37.391738,-5.983083,ciudad_centroid_local
7719553941a37c0076c50b5137f22f0cf5ab7aa5120030fb602d3c9ca2895943,Madrid,40.423559,-3.694702,ciudad_centroid_local
7719f0e2ea29d9bc88d85c3a6b521eaa6bf0b967e0d741e9741db158de970207,Madrid,40.423559,-3.694702,ciudad_centroid_local
771a65c1294bb0074eb73b45ee4b620b12a3783d5549ca6a2d6324259a07a747,Barcelona,41.391195,2.164495,ciudad_centroid_local
771a88f7dc001d342f78b781bb0d595e62ce6bb88f4b1c1a7f89e1ac0b5059f1,Mallorca,39.658539,3.027134,ciudad_centroid_local
771b709135f8af39c4ef05b088250a092a9b016ddad8b494bc4fa90408103969,Sevilla,37.391738,-5.983083,ciudad_centroid_local
771c9c3edeec4859ef006dc3ad991fbc06fd4b6cc1698a10252b106e4106af17,Girona,42.026239,3.007877,ciudad_centroid_local
771ced2cc548ae31615c32c32002823c4657553b4cd7c199206edb25e2c487cb,Valencia,39.466827,-0.368926,ciudad_centroid_local
771ef944974c2692db7a7cba413b723c190cfb96f070eb67fb6feb737c11a2fc,Madrid,40.423559,-3.694702,ciudad_centroid_local
771f5a37d6cfaf7a3869bdf2b44116eb3c62c04488570378bf78d2b8c1e33de8,Madrid,40.423559,-3.694702,ciudad_centroid_local
771f80ac251b1c806fdfef45e9a46ef927b78afa67b1a430e4d7b871bc50d7ce,Barcelona,41.391195,2.164495,ciudad_centroid_local
7722f04cc5ec7e7878959a8e85d3c28ba3b8124a8afddc89fe6121de1036a691,Barcelona,41.391195,2.164495,ciudad_centroid_local
77235512558e9e1362d7d2cdefef94608712457a74d9fb63b7050275fd2a400c,Madrid,40.423559,-3.694702,ciudad_centroid_local
772439077a67c2569b58ca1debb0b524e7af3bca96a46eb622e9e653f294eac7,Madrid,40.423559,-3.694702,ciudad_centroid_local
7724417cc28718dfca619480e7cdf5c7cf450c1429da2ce3bc34382f6eacdd77,Barcelona,41.391195,2.164495,ciudad_centroid_local
